state_id,state_code,epi_year,epi_week,week_start_date,cases_t1,cases_t2,cases_t4,cases_rolling4w_mean,cases_rolling8w_mean,cases_log1p,rainfall_t2_mm,rainfall_t4_mm,temp_mean_t1_c,reservoir_risk_index,is_border_state,neighbour_cases_t1,target_outbreak_4w,target_cases_4w,is_complete
1,AB,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
2,AD,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.2776,1,0,0,0,0
3,AK,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1909,0,0,0,0,0
4,AN,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
5,BA,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.2776,0,0,0,0,0
6,BY,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.4387,0,0,0,0,0
7,BE,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1387,0,0,0,0,0
8,BO,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.4163,1,0,0,0,0
9,CR,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1043,1,0,0,0,0
10,DE,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.2598,0,0,0,0,0
11,EB,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
12,ED,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.6149,0,0,0,0,0
13,EK,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.5815,0,0,0,0,0
14,EN,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
15,GO,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1387,0,0,0,0,0
16,IM,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
17,JI,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.2199,1,0,0,0,0
18,KD,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1387,0,0,0,0,0
19,KN,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1387,0,0,0,0,0
20,KT,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,1,0,0,0,0
21,KE,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.2776,1,0,0,0,0
22,KO,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.3040,0,0,0,0,0
23,KW,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
24,LA,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1909,0,0,0,0,0
25,NA,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
26,NI,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.4610,0,0,0,0,0
27,OG,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0521,0,0,0,0,0
28,ON,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.2598,0,0,0,0,0
29,OS,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1387,0,0,0,0,0
30,OY,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.1043,0,0,0,0,0
31,PL,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.9479,0,0,0,0,0
32,RI,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.4083,0,0,0,0,0
33,SO,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,1,0,0,0,0
34,TA,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,1,0,0,0,0
35,YO,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,1,0,0,0,0
36,ZA,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
37,FC,2017,1,2017-01-02,0,0,0,0.00,0.00,0.0000,,,,0.0000,0,0,0,0,0
1,AB,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,28.51,0.0000,0,0,0,0,0
2,AD,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,26.89,0.2776,1,0,0,0,0
3,AK,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,27.14,0.1909,0,0,0,0,0
4,AN,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,29.01,0.0000,0,0,0,0,0
5,BA,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,21.29,0.2776,0,0,0,0,0
6,BY,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,27.01,0.4387,0,0,0,0,0
7,BE,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,27.91,0.1387,0,0,0,0,0
8,BO,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,22.11,0.4163,1,0,0,0,0
9,CR,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,27.29,0.1043,1,0,0,0,0
10,DE,2017,2,2017-01-09,0,0,0,0.00,0.00,0.0000,,,27.53,0.2598,0,0,0,0,0
