iso_year,iso_week,n,n_nigeria
2021,29,1,1
2022,17,1,0
2022,20,4,0
2022,21,7,1
2022,22,1,0
2022,23,1,0
2022,24,1,0
2022,25,3,0
2022,26,3,1
2022,29,3,0
2022,30,1,0
2022,33,2,1
2022,36,4,2
2022,37,1,0
2022,38,2,1
2022,39,3,0
2022,42,1,0
2022,43,4,0
2022,44,6,0
2022,47,1,0
2022,48,9,1
2022,51,1,0
2023,2,1,1
2023,3,1,1
2023,4,1,1
2023,6,1,0
2023,7,1,1
2023,19,1,0
2023,20,1,1
2023,25,1,0
2023,41,1,0
2023,44,1,1
2023,47,1,0
2024,4,1,1
2024,13,1,1
2024,17,1,0
2024,18,1,0
2024,19,1,0
2024,20,5,0
2024,22,1,0
2024,24,3,0
2024,26,1,0
2024,28,1,1
2024,29,1,0
2024,31,4,0
2024,32,17,6
2024,33,90,30
2024,34,39,18
2024,35,53,46
2024,36,9,6
2024,37,16,8
2024,38,7,7
2024,39,5,2
2024,40,4,4
2024,41,7,6
2024,42,5,5
2024,43,3,3
2024,44,3,3
2024,45,2,1
2024,46,2,1
2024,47,7,5
2024,48,2,0
2024,49,2,0
2024,50,1,0
2024,51,2,2
2024,52,1,0
2025,2,2,0
2025,3,1,0
2025,4,1,1
2025,5,1,0
2025,7,1,0
2025,12,1,0
2025,15,1,0
2025,18,4,4
2025,21,1,0
2025,23,2,1
2025,24,1,0
2025,26,1,0
2025,27,1,0
2025,29,2,1
2025,33,1,0
2025,34,1,1
2025,35,2,0
2025,36,4,1
2025,37,1,0
2025,39,2,2
2025,41,1,1
2025,44,3,1
2025,47,1,0
2025,48,1,1
2026,2,1,0
2026,3,1,0
2026,4,4,2
2026,5,2,1
2026,6,3,3
2026,7,6,1
2026,8,1,0
2026,9,5,0
2026,10,2,1
2026,11,4,0
2026,12,3,0
2026,13,1,0
2026,14,5,0
2026,15,1,0
2026,16,1,0
2026,17,2,0
2026,18,3,0
2026,19,3,0
2026,20,5,0
2026,21,3,0
2026,22,3,0
2026,23,9,0
2026,24,4,0
2026,25,2,0
2026,26,4,0
2026,27,8,0
2026,28,3,0
2026,29,1,0
2026,30,6,1
2026,31,3,0
2026,32,13,0
2026,33,1,0
2026,35,1,1
2026,38,3,0
