state_id,epi_year,epi_week,week_start_date,total_cases,confirmed
6,2018,41,2018-10-08,4,0
11,2018,41,2018-10-08,4,0
32,2018,41,2018-10-08,2,0
3,2019,40,2019-09-30,3,0
10,2019,40,2019-09-30,1,0
16,2019,40,2019-09-30,2,0
24,2019,40,2019-09-30,5,0
32,2019,40,2019-09-30,2,0
36,2019,40,2019-09-30,1,0
3,2019,44,2019-10-28,9,0
6,2019,44,2019-10-28,2,0
24,2019,44,2019-10-28,1,0
30,2019,44,2019-10-28,1,0
32,2019,44,2019-10-28,3,0
37,2019,44,2019-10-28,1,0
24,2019,48,2019-11-25,3,0
32,2019,48,2019-11-25,3,0
6,2021,26,2021-06-28,39,0
32,2021,26,2021-06-28,50,0
6,2021,34,2021-08-23,41,0
32,2021,34,2021-08-23,51,0
6,2021,38,2021-09-20,41,0
32,2021,38,2021-09-20,51,0
6,2021,43,2021-10-25,42,0
32,2021,43,2021-10-25,51,0
6,2021,47,2021-11-22,43,0
32,2021,47,2021-11-22,52,0
6,2021,52,2021-12-27,1,0
32,2021,52,2021-12-27,1,0
2,2022,4,2022-01-24,4,0
16,2022,4,2022-01-24,1,0
37,2022,4,2022-01-24,1,0
6,2022,8,2022-02-21,3,0
16,2022,8,2022-02-21,2,0
6,2022,17,2022-04-25,43,0
32,2022,17,2022-04-25,52,0
1,2022,21,2022-05-23,3,0
3,2022,21,2022-05-23,7,0
6,2022,21,2022-05-23,45,0
32,2022,21,2022-05-23,53,0
6,2022,22,2022-05-30,45,0
32,2022,22,2022-05-30,55,0
6,2022,23,2022-06-06,45,0
32,2022,23,2022-06-06,55,0
6,2022,24,2022-06-13,47,0
32,2022,24,2022-06-13,55,0
1,2022,25,2022-06-20,1,0
2,2022,25,2022-06-20,2,0
6,2022,25,2022-06-20,4,0
7,2022,25,2022-06-20,1,0
9,2022,25,2022-06-20,2,0
10,2022,25,2022-06-20,2,0
12,2022,25,2022-06-20,1,0
15,2022,25,2022-06-20,3,0
20,2022,25,2022-06-20,1,0
24,2022,25,2022-06-20,5,0
25,2022,25,2022-06-20,4,0
28,2022,25,2022-06-20,2,0
30,2022,25,2022-06-20,2,0
31,2022,25,2022-06-20,4,0
32,2022,25,2022-06-20,2,0
34,2022,25,2022-06-20,2,0
37,2022,25,2022-06-20,3,0
2,2022,26,2022-06-27,3,0
3,2022,26,2022-06-27,1,0
7,2022,26,2022-06-27,1,0
8,2022,26,2022-06-27,2,0
9,2022,26,2022-06-27,1,0
10,2022,26,2022-06-27,4,0
11,2022,26,2022-06-27,2,0
12,2022,26,2022-06-27,2,0
19,2022,26,2022-06-27,1,0
21,2022,26,2022-06-27,1,0
23,2022,26,2022-06-27,2,0
24,2022,26,2022-06-27,4,0
25,2022,26,2022-06-27,6,0
27,2022,26,2022-06-27,1,0
28,2022,26,2022-06-27,3,0
30,2022,26,2022-06-27,2,0
31,2022,26,2022-06-27,1,0
34,2022,26,2022-06-27,2,0
37,2022,26,2022-06-27,1,0
1,2022,27,2022-07-04,1,0
2,2022,27,2022-07-04,6,0
4,2022,27,2022-07-04,1,0
5,2022,27,2022-07-04,5,0
6,2022,27,2022-07-04,3,0
8,2022,27,2022-07-04,1,0
10,2022,27,2022-07-04,2,0
12,2022,27,2022-07-04,2,0
14,2022,27,2022-07-04,1,0
15,2022,27,2022-07-04,7,0
18,2022,27,2022-07-04,1,0
20,2022,27,2022-07-04,12,0
21,2022,27,2022-07-04,1,0
22,2022,27,2022-07-04,1,0
23,2022,27,2022-07-04,1,0
24,2022,27,2022-07-04,2,0
25,2022,27,2022-07-04,1,0
27,2022,27,2022-07-04,1,0
28,2022,27,2022-07-04,3,0
30,2022,27,2022-07-04,1,0
31,2022,27,2022-07-04,2,0
6,2022,28,2022-07-11,51,0
9,2022,28,2022-07-11,17,0
10,2022,28,2022-07-11,39,0
12,2022,28,2022-07-11,18,0
24,2022,28,2022-07-11,45,0
32,2022,28,2022-07-11,61,0
37,2022,28,2022-07-11,11,0
6,2022,29,2022-07-18,53,0
9,2022,29,2022-07-18,17,0
10,2022,29,2022-07-18,40,0
12,2022,29,2022-07-18,18,0
16,2022,29,2022-07-18,12,0
24,2022,29,2022-07-18,47,0
32,2022,29,2022-07-18,62,0
6,2022,30,2022-07-25,55,0
9,2022,30,2022-07-25,17,0
10,2022,30,2022-07-25,41,0
12,2022,30,2022-07-25,18,0
24,2022,30,2022-07-25,50,0
28,2022,30,2022-07-25,14,0
32,2022,30,2022-07-25,63,0
6,2022,31,2022-08-01,55,0
10,2022,31,2022-08-01,41,0
12,2022,31,2022-08-01,19,0
24,2022,31,2022-08-01,50,0
32,2022,31,2022-08-01,65,0
6,2022,32,2022-08-08,57,0
10,2022,32,2022-08-08,41,0
24,2022,32,2022-08-08,65,0
32,2022,32,2022-08-08,68,0
1,2022,33,2022-08-15,1,0
2,2022,33,2022-08-15,3,0
3,2022,33,2022-08-15,3,0
4,2022,33,2022-08-15,3,0
5,2022,33,2022-08-15,2,0
8,2022,33,2022-08-15,1,0
9,2022,33,2022-08-15,2,0
10,2022,33,2022-08-15,2,0
11,2022,33,2022-08-15,3,0
12,2022,33,2022-08-15,3,0
13,2022,33,2022-08-15,2,0
16,2022,33,2022-08-15,6,0
18,2022,33,2022-08-15,2,0
20,2022,33,2022-08-15,3,0
22,2022,33,2022-08-15,2,0
23,2022,33,2022-08-15,1,0
24,2022,33,2022-08-15,14,0
25,2022,33,2022-08-15,1,0
27,2022,33,2022-08-15,6,0
28,2022,33,2022-08-15,4,0
29,2022,33,2022-08-15,2,0
30,2022,33,2022-08-15,1,0
31,2022,33,2022-08-15,1,0
32,2022,33,2022-08-15,1,0
34,2022,33,2022-08-15,1,0
35,2022,33,2022-08-15,1,0
37,2022,33,2022-08-15,2,0
6,2022,34,2022-08-22,62,0
10,2022,34,2022-08-22,43,0
24,2022,34,2022-08-22,79,0
32,2022,34,2022-08-22,70,0
1,2022,35,2022-08-29,21,0
2,2022,35,2022-08-29,9,0
3,2022,35,2022-08-29,2,0
6,2022,35,2022-08-29,1,0
8,2022,35,2022-08-29,4,0
10,2022,35,2022-08-29,3,0
11,2022,35,2022-08-29,1,0
14,2022,35,2022-08-29,1,0
15,2022,35,2022-08-29,2,0
16,2022,35,2022-08-29,15,0
18,2022,35,2022-08-29,1,0
20,2022,35,2022-08-29,3,0
24,2022,35,2022-08-29,24,0
25,2022,35,2022-08-29,3,0
27,2022,35,2022-08-29,6,0
28,2022,35,2022-08-29,5,0
29,2022,35,2022-08-29,1,0
30,2022,35,2022-08-29,1,0
31,2022,35,2022-08-29,4,0
32,2022,35,2022-08-29,1,0
37,2022,35,2022-08-29,2,0
1,2022,37,2022-09-12,28,0
6,2022,37,2022-09-12,67,0
10,2022,37,2022-09-12,45,0
12,2022,37,2022-09-12,28,0
16,2022,37,2022-09-12,27,0
24,2022,37,2022-09-12,127,0
32,2022,37,2022-09-12,74,0
1,2022,38,2022-09-19,7,0
3,2022,38,2022-09-19,1,0
4,2022,38,2022-09-19,3,0
6,2022,38,2022-09-19,2,0
9,2022,38,2022-09-19,3,0
10,2022,38,2022-09-19,4,0
11,2022,38,2022-09-19,1,0
12,2022,38,2022-09-19,1,0
16,2022,38,2022-09-19,3,0
23,2022,38,2022-09-19,3,0
24,2022,38,2022-09-19,19,0
27,2022,38,2022-09-19,3,0
31,2022,38,2022-09-19,1,0
32,2022,38,2022-09-19,3,0
37,2022,38,2022-09-19,1,0
7,2022,39,2022-09-26,8,0
24,2022,39,2022-09-26,28,0
27,2022,39,2022-09-26,6,0
28,2022,39,2022-09-26,5,0
37,2022,39,2022-09-26,4,0
1,2022,40,2022-10-03,11,0
6,2022,40,2022-10-03,4,0
16,2022,40,2022-10-03,6,0
18,2022,40,2022-10-03,4,0
24,2022,40,2022-10-03,27,0
31,2022,40,2022-10-03,6,0
6,2022,41,2022-10-10,11,0
12,2022,41,2022-10-10,3,0
18,2022,41,2022-10-10,5,0
20,2022,41,2022-10-10,9,0
24,2022,41,2022-10-10,26,0
27,2022,41,2022-10-10,9,0
1,2022,42,2022-10-17,5,0
4,2022,42,2022-10-17,3,0
10,2022,42,2022-10-17,7,0
16,2022,42,2022-10-17,12,0
24,2022,42,2022-10-17,29,0
28,2022,42,2022-10-17,7,0
1,2022,43,2022-10-24,7,0
6,2022,43,2022-10-24,9,0
16,2022,43,2022-10-24,8,0
24,2022,43,2022-10-24,14,0
31,2022,43,2022-10-24,20,0
37,2022,43,2022-10-24,5,0
14,2022,45,2022-11-07,10,0
18,2022,45,2022-11-07,3,0
24,2022,45,2022-11-07,12,0
27,2022,45,2022-11-07,9,0
28,2022,45,2022-11-07,7,0
32,2022,45,2022-11-07,4,0
1,2022,46,2022-11-14,53,0
24,2022,46,2022-11-14,158,0
10,2022,47,2022-11-21,8,0
24,2022,47,2022-11-21,7,0
25,2022,47,2022-11-21,5,0
27,2022,47,2022-11-21,5,0
28,2022,47,2022-11-21,5,0
36,2022,47,2022-11-21,16,0
1,2022,48,2022-11-28,7,0
16,2022,48,2022-11-28,7,0
23,2022,48,2022-11-28,7,0
